top - 18:03:22 up  4:44,  1 user,  load average: 0.19, 0.26, 0.35
Tasks: 377 total,   1 running, 361 sleeping,  14 stopped,   1 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15677.4 total,   7091.2 free,   5490.7 used,   3921.4 buff/cache     
MiB Swap:   2048.0 total,    427.5 free,   1620.5 used.  10186.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3477 pranesh   39  19  808840  11288   3416 S   0.0   0.1   0:00.30 tracker+
   3495 pranesh   20   0  701784   6508   4332 S   0.0   0.0   0:00.54 xdg-des+
   3504 pranesh   20   0 2859204    752    256 S   0.0   0.0   0:00.04 gjs
   3524 pranesh   20   0  795740   9244   3520 S   0.0   0.1   0:00.19 gsd-xse+
   3532 pranesh   20   0  847136  12128   3448 S   0.0   0.1   0:00.65 xdg-des+
   3566 pranesh   20   0  421260   9708   3308 S   0.0   0.1   0:00.14 xdg-des+
   3601 pranesh   20   0 3227956  23616  15176 S   0.0   0.1   0:01.90 gjs
   3634 pranesh   20   0  267152   6552    292 S   0.0   0.0   0:00.09 ibus-x11
   3642 pranesh   20   0 1245480  21628  14720 S   0.0   0.1   0:04.68 mutter-+
   3665 pranesh   20   0   39136   1792    384 S   0.0   0.0   0:00.06 snapd-d+
   3683 pranesh   20   0  460148   5888   4736 S   0.0   0.0   0:00.38 zeitgei+
   3720 pranesh   20   0  236304    384    256 S   0.0   0.0   0:00.00 gvfsd-m+
   3745 pranesh   20   0  435276   8596    512 S   0.0   0.1   0:00.09 snapd-d+
   3798 pranesh   20   0  350460  10044   6784 S   0.0   0.1   0:00.57 zeitgei+
   3832 root      20   0  603872  12160   3748 S   0.0   0.1   0:02.30 fwupd
   3985 pranesh   20   0 1224.3g 137788  73524 S   0.0   0.9   0:30.71 slack
   3999 pranesh   20   0  577372  43876  22232 S   0.0   0.3   0:35.11 gnome-t+
   4019 pranesh   20   0   11264   1536    256 S   0.0   0.0   0:00.00 bash
   4053 pranesh   20   0   32.3g   9600    384 S   0.0   0.1   0:00.02 slack
   4054 pranesh   20   0   32.3g   9344    128 S   0.0   0.1   0:00.02 slack
   4055 pranesh   20   0  825864  18328  10684 S   0.0   0.1   0:13.78 vpnui
   4188 pranesh   20   0   32.0g   1024    896 S   0.0   0.0   0:00.00 chrome_+
   4301 pranesh   20   0   32.4g  45592  32212 S   0.0   0.3   0:07.83 slack
   4340 pranesh   20   0 1913512   6868   2560 S   0.0   0.0   0:00.27 snap
   4357 pranesh   20   0 1224.1g 441624 104608 S   0.0   2.8   5:42.80 slack
   4358 pranesh   20   0  389996   2552    384 S   0.0   0.0   0:00.06 gvfsd-r+
   4424 pranesh   20   0   32.6g  65024  35532 S   0.0   0.4   2:42.57 slack
   4558 pranesh   20   0   32.4g  14844   4864 S   0.0   0.1   0:01.69 slack
   4594 pranesh   20   0   33.0g 400540 175120 S   0.0   2.5   7:35.56 chrome
   4597 pranesh   20   0   32.0g   2048   1920 S   0.0   0.0   0:00.00 chrome_+
   4599 pranesh   20   0   32.0g    128    128 S   0.0   0.0   0:00.00 chrome_+
   4605 pranesh   20   0   32.6g    896    640 S   0.0   0.0   0:00.02 chrome
   4606 pranesh   20   0   32.6g   1792    768 S   0.0   0.0   0:00.01 chrome
   4610 pranesh   20   0   32.6g   4544   3456 S   0.0   0.0   0:00.45 chrome
   4647 pranesh   20   0   33.1g 130276  68464 S   0.0   0.8   5:40.89 chrome
   4651 pranesh   20   0   32.5g  98312  64668 S   0.0   0.6   1:21.69 chrome
   4662 pranesh   20   0   32.7g  29420  24876 S   0.0   0.2   0:04.12 chrome
   4705 pranesh   20   0 1378.1g 150784  67292 S   0.0   0.9   0:44.17 chrome
   4722 pranesh   20   0 1376.4g 140240  29548 S   0.0   0.9   0:25.18 chrome
   4743 pranesh   20   0 1378.1g 103280  73788 S   0.0   0.6   0:17.51 chrome
   4800 pranesh   20   0 1376.4g 237824 107768 S   0.0   1.5   0:33.10 chrome
   4806 pranesh   20   0 1376.4g  60640  44092 S   0.0   0.4   0:02.20 chrome
   4877 pranesh   20   0 1376.4g  19040  14908 S   0.0   0.1   0:00.66 chrome
   4899 pranesh   20   0 1376.4g  53892  47360 S   0.0   0.3   0:00.64 chrome
   4927 pranesh   20   0   32.4g  25468  24320 S   0.0   0.2   0:01.49 chrome
   4947 pranesh   20   0 1378.1g  57872  30336 S   0.0   0.4   0:03.84 chrome
   4979 pranesh   20   0 1378.1g 480644 124424 S   0.0   3.0  14:20.21 chrome
   5000 pranesh   20   0 1376.4g  36360  14464 S   0.0   0.2   0:01.68 chrome
   5006 pranesh   20   0 1378.1g 138656  66188 S   0.0   0.9   0:14.65 chrome
   5041 pranesh   20   0 1376.4g  34876  14496 S   0.0   0.2   0:00.48 chrome
   5166 pranesh   20   0  498412  24796  17544 S   0.0   0.2   0:00.48 update-+
   5248 pranesh   20   0       0      0      0 Z   0.0   0.0   0:01.01 cscan
  13167 pranesh   20   0   18756   2176   1024 S   0.0   0.0   0:00.05 ssh
  13204 pranesh   20   0    8432    768    128 S   0.0   0.0   0:00.02 ssh-age+
  13262 pranesh   20   0   11264   1792    256 S   0.0   0.0   0:00.00 bash
  13275 pranesh   20   0   18756   2304   1152 S   0.0   0.0   0:00.16 ssh
